sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
觀音,桃園市,31,,良好,0.8,0.2,21.7,33.5,28,11,10.5,12,1.5,2.9,29,"2024-01-09 08:00",,0.1,9.5,26,1,121.08283092,25.03556747,19
大園,桃園市,31,,良好,1,0.22,24.1,33.3,21,12,12.9,15.5,2.6,3.2,21,"2024-01-09 08:00",,0.1,8.4,19,1,121.20251473,25.06100357,18
桃園,桃園市,38,,良好,1,0.45,22.7,31.8,17,16,14.7,17.1,2.3,1.2,26,"2024-01-09 08:00",,0.2,11.8,17,1,121.30500531,24.9947107,17
中壢,桃園市,47,,良好,2,0.49,11.1,25.2,20,8,28.1,62.1,34,0.2,328,"2024-01-09 07:00",,0.3,10.4,21,2,121.221667,24.953278,68
龍潭,桃園市,46,,良好,0.7,0.29,16.5,28.2,21,13,16.3,19.4,3,1,23,"2024-01-09 07:00",,0.2,14.1,22,1,121.21645772,24.86400048,21
平鎮,桃園市,37,,良好,0.5,0.25,21.1,28.8,22,10,16.2,17.1,0.8,0.7,26,"2024-01-09 07:00",,0.2,11.5,19,0,121.203986,24.952786,20
觀音,桃園市,33,,良好,0.8,0.13,29.2,36.3,21,9,6.9,7.8,0.9,3.1,20,"2024-01-09 07:00",,0.1,9.3,27,1,121.08283092,25.03556747,19
大園,桃園市,32,,良好,1,0.19,27.9,35.5,22,10,10.4,11.6,1.1,2.7,14,"2024-01-09 07:00",,0.1,7.4,19,1,121.20251473,25.06100357,18
桃園,桃園市,36,,良好,0.9,0.24,29.6,29.8,11,9,8.3,9.2,0.9,1.3,349,"2024-01-09 07:00",,0.2,11.2,17,1,121.30500531,24.9947107,17
中壢,桃園市,35,,良好,2,0.28,19.7,26.8,19,10,16,22.4,6.3,0.2,329,"2024-01-09 06:00",,0.3,10.7,21,2,121.221667,24.953278,68
龍潭,桃園市,45,,良好,0.7,0.21,30.4,29.2,19,12,12.5,14.2,1.7,1,78,"2024-01-09 06:00",,0.2,13.9,22,1,121.21645772,24.86400048,21
平鎮,桃園市,39,,良好,0.6,0.21,26.8,29.9,15,11,13.5,14.1,0.6,0.4,18,"2024-01-09 06:00",,0.2,12,18,0,121.203986,24.952786,20
觀音,桃園市,34,,良好,0.8,0.13,27,38.0,26,9,7.4,8.1,0.6,4.3,25,"2024-01-09 06:00",,0.1,9.3,27,1,121.08283092,25.03556747,19
大園,桃園市,34,,良好,1,0.18,28.3,37.4,22,7,8.8,9.8,1,2.9,352,"2024-01-09 06:00",,0.1,6.9,19,1,121.20251473,25.06100357,18
桃園,桃園市,38,,良好,0.8,0.19,33.3,26.2,14,8,6.2,7.2,1,1,318,"2024-01-09 06:00",,0.3,11.7,17,1,121.30500531,24.9947107,17
中壢,桃園市,35,,良好,1.5,0.22,30.2,26.3,18,10,9.1,10.9,1.8,0.2,287,"2024-01-09 05:00",,0.3,10.9,21,2,121.221667,24.953278,68
龍潭,桃園市,46,,良好,0.6,0.19,29.7,28.6,20,16,11.9,13.6,1.6,1.3,14,"2024-01-09 05:00",,0.2,14.2,23,1,121.21645772,24.86400048,21
平鎮,桃園市,39,,良好,0.4,0.18,31.7,29.5,20,10,10.2,10.7,0.4,0.3,318,"2024-01-09 05:00",,0.2,12.1,19,0,121.203986,24.952786,20
觀音,桃園市,37,,良好,0.8,0.13,34.5,40,24,9,3.9,4.4,0.5,4.3,14,"2024-01-09 05:00",,0.1,9.9,27,1,121.08283092,25.03556747,19
大園,桃園市,36,,良好,1.2,0.17,32.5,39.2,12,5,7.2,7.9,0.7,3.1,358,"2024-01-09 05:00",,0.1,7.4,20,1,121.20251473,25.06100357,18
桃園,桃園市,39,,良好,0.8,0.18,35,22.5,17,8,5.7,6.7,1,1.2,291,"2024-01-09 05:00",,0.4,12.1,18,1,121.30500531,24.9947107,17
中壢,桃園市,39,,良好,1.9,0.22,28.7,24,20,7,8.9,10.9,1.9,0.2,0,"2024-01-09 04:00",,0.4,12.1,24,2,121.221667,24.953278,68
龍潭,桃園市,46,,良好,0.7,0.19,29.9,27.8,22,11,11.5,13.1,1.5,1.3,48,"2024-01-09 04:00",,0.2,14.2,25,1,121.21645772,24.86400048,21
平鎮,桃園市,41,,良好,0.5,0.18,31,28.2,17,11,9.7,10.2,0.4,0.2,303,"2024-01-09 04:00",,0.2,12.7,19,0,121.203986,24.952786,20
觀音,桃園市,38,,良好,0.7,0.12,32.6,41.2,35,9,5.9,6.5,0.5,4.2,20,"2024-01-09 04:00",,0.1,10.1,27,1,121.08283092,25.03556747,19
大園,桃園市,37,,良好,1,0.16,37.9,40.5,21,6,5.5,6.2,0.7,3.3,357,"2024-01-09 04:00",,0.1,8.6,22,2,121.20251473,25.06100357,18
桃園,桃園市,41,,良好,0.7,0.19,32.1,18.6,11,11,7.5,8.5,0.9,0.9,323,"2024-01-09 04:00",,0.5,12.6,19,1,121.30500531,24.9947107,17
中壢,桃園市,43,,良好,1.9,0.24,30.2,22.0,12,6,9.2,10.8,1.5,0.2,332,"2024-01-09 03:00",,0.5,13.1,25,2,121.221667,24.953278,68
龍潭,桃園市,49,,良好,0.6,0.19,31.9,25.9,15,9,11.1,12.8,1.6,1.2,15,"2024-01-09 03:00",,0.3,15.2,27,1,121.21645772,24.86400048,21
平鎮,桃園市,42,,良好,0.5,0.2,29.3,27.2,12,9,11.9,12.5,0.6,0.8,15,"2024-01-09 03:00",,0.3,13,20,0,121.203986,24.952786,20
觀音,桃園市,39,,良好,0.8,0.12,37.4,42.7,20,9,4.6,5,0.4,2.7,41,"2024-01-09 03:00",,0.1,10.3,27,1,121.08283092,25.03556747,19
大園,桃園市,37,,良好,1,0.17,34.8,40.5,21,6,7,7.7,0.6,2.3,358,"2024-01-09 03:00",,0.1,9.4,23,2,121.20251473,25.06100357,18
桃園,桃園市,45,,良好,0.8,0.21,34.1,15.2,9,12,6.9,7.8,0.9,1.1,4,"2024-01-09 03:00",,0.5,13.8,23,1,121.30500531,24.9947107,17
中壢,桃園市,48,,良好,1.6,0.26,29.5,18.9,16,9,11.7,13.1,1.4,0.2,298,"2024-01-09 02:00",,0.6,14.7,29,2,121.221667,24.953278,68
龍潭,桃園市,52,細懸浮微粒,普通,0.7,0.2,32.8,23.4,21,13,10.8,12.5,1.7,0.9,332,"2024-01-09 02:00",,0.3,16.1,29,1,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,0.6,0.2,32.3,25.2,13,11,11.6,11.9,0.3,0.4,293,"2024-01-09 02:00",,0.3,14,22,0,121.203986,24.952786,20
觀音,桃園市,40,,良好,1,0.15,41.7,43.7,24,11,3.5,4.1,0.6,1.4,34,"2024-01-09 02:00",,0.1,10.5,29,1,121.08283092,25.03556747,19
大園,桃園市,37,,良好,1.1,0.17,39.9,40.5,20,8,4.8,5.7,0.8,1.6,353,"2024-01-09 02:00",,0.2,10,23,2,121.20251473,25.06100357,18
桃園,桃園市,50,,良好,0.9,0.24,35.3,13.2,14,7,6.7,7.8,1,0.4,5,"2024-01-09 02:00",,0.6,15.3,27,1,121.30500531,24.9947107,17
中壢,桃園市,52,細懸浮微粒,普通,2,0.33,29.3,16.2,29,16,12,14.8,2.7,0.2,311,"2024-01-09 01:00",,0.7,15.8,32,2,121.221667,24.953278,68
龍潭,桃園市,54,細懸浮微粒,普通,1.5,0.3,27.7,21.5,26,16,18.3,19.3,0.9,1,325,"2024-01-09 01:00",,0.4,16.7,29,1,121.21645772,24.86400048,21
平鎮,桃園市,48,,良好,0.7,0.21,32.5,23.8,19,12,12.5,13.9,1.3,0.7,302,"2024-01-09 01:00",,0.4,14.7,24,0,121.203986,24.952786,20
觀音,桃園市,40,,良好,0.8,0.12,44,43.6,24,8,2.6,3.3,0.6,3.1,37,"2024-01-09 01:00",,0.1,11,32,1,121.08283092,25.03556747,19
大園,桃園市,36,,良好,1.9,0.18,40.8,39.2,21,11,5,5.6,0.5,3.7,359,"2024-01-09 01:00",,0.2,10.4,23,2,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,1.2,0.27,32.1,11.4,24,10,10.8,11.5,0.7,1.4,346,"2024-01-09 01:00",,0.6,17.4,30,1,121.30500531,24.9947107,17
中壢,桃園市,50,,良好,2.4,0.45,22.8,14.2,28,12,18.4,22.3,3.8,0.2,342,"2024-01-09 00:00",,0.8,15.3,31,2,121.221667,24.953278,68
龍潭,桃園市,54,細懸浮微粒,普通,1.6,0.33,26.6,21.4,34,18,18.6,19.6,1,1.5,347,"2024-01-09 00:00",,0.4,16.8,29,1,121.21645772,24.86400048,21
平鎮,桃園市,49,,良好,0.7,0.28,25.8,23.3,22,13,17.5,18.6,1,0.4,4,"2024-01-09 00:00",,0.4,15,25,0,121.203986,24.952786,20
觀音,桃園市,40,,良好,0.8,0.13,44.1,43.9,26,9,3.1,3.8,0.6,4.4,44,"2024-01-09 00:00",,0.1,11.6,34,1,121.08283092,25.03556747,19
大園,桃園市,35,,良好,1.8,0.19,41.6,38.0,25,9,5.4,6.2,0.7,2.9,354,"2024-01-09 00:00",,0.2,10,24,2,121.20251473,25.06100357,18
桃園,桃園市,58,細懸浮微粒,普通,1.6,0.7,7.1,10.8,30,19,34.6,42.8,8.1,1.1,326,"2024-01-09 00:00",,0.7,18.4,31,1,121.30500531,24.9947107,17
中壢,桃園市,54,細懸浮微粒,普通,2.3,0.58,23.7,13.3,33,15,19.4,25.1,5.6,0.2,346,"2024-01-08 23:00",,0.9,16.7,32,2,121.221667,24.953278,68
龍潭,桃園市,56,細懸浮微粒,普通,1.6,0.36,24.5,22.6,25,15,22.2,23.8,1.6,1.8,12,"2024-01-08 23:00",,0.4,17.6,30,1,121.21645772,24.86400048,21
平鎮,桃園市,51,細懸浮微粒,普通,0.8,0.32,29.9,24.8,23,15,14.9,16.2,1.2,0.6,23,"2024-01-08 23:00",,0.4,15.6,26,0,121.203986,24.952786,20
觀音,桃園市,41,,良好,0.8,0.14,42.3,44.1,30,8,4.5,5.3,0.7,2.9,52,"2024-01-08 23:00",,0.1,11.9,34,1,121.08283092,25.03556747,19
大園,桃園市,34,,良好,1.7,0.19,43,37.3,21,8,5.2,6,0.7,2.9,14,"2024-01-08 23:00",,0.2,10,24,2,121.20251473,25.06100357,18
桃園,桃園市,57,二氧化氮,普通,1.8,1.13,0.3,14.0,37,23,39.8,62.6,22.7,0.2,232,"2024-01-08 23:00",,0.6,17.6,31,1,121.30500531,24.9947107,17
中壢,桃園市,57,細懸浮微粒,普通,2.7,0.69,15.7,13.3,33,15,27.1,38,10.8,0.2,353,"2024-01-08 22:00",,0.9,17.8,33,2,121.221667,24.953278,68
龍潭,桃園市,58,細懸浮微粒,普通,1.6,0.35,26,24.6,22,17,21.1,22.7,1.6,1,357,"2024-01-08 22:00",,0.4,18.2,33,1,121.21645772,24.86400048,21
平鎮,桃園市,54,細懸浮微粒,普通,1.1,0.38,23.5,26.3,24,16,22.6,24.9,2.3,1.7,20,"2024-01-08 22:00",,0.4,16.7,29,0,121.203986,24.952786,20
觀音,桃園市,41,,良好,0.5,0.15,43.4,44.9,41,12,3.9,4.7,0.8,3.4,46,"2024-01-08 22:00",,0.1,12.3,34,1,121.08283092,25.03556747,19
大園,桃園市,34,,良好,1.7,0.21,43.5,36.5,16,10,5.7,6.6,0.9,4.1,23,"2024-01-08 22:00",,0.2,10.4,25,2,121.20251473,25.06100357,18
桃園,桃園市,56,二氧化氮,普通,1.9,0.66,4.1,18.3,34,21,38.8,43.5,4.6,0.5,48,"2024-01-08 22:00",,0.5,15.7,29,1,121.30500531,24.9947107,17
中壢,桃園市,58,細懸浮微粒,普通,2.9,0.79,12.1,13.9,23,14,33.2,52.7,19.4,0.2,331,"2024-01-08 21:00",,0.9,18.3,34,2,121.221667,24.953278,68
龍潭,桃園市,57,細懸浮微粒,普通,2.3,0.39,23.3,26.8,26,18,26.7,28.5,1.7,1.4,316,"2024-01-08 21:00",,0.4,17.8,35,1,121.21645772,24.86400048,21
平鎮,桃園市,53,細懸浮微粒,普通,1.3,0.41,21.3,29.0,25,15,22.7,24.4,1.7,0.5,15,"2024-01-08 21:00",,0.4,16.2,30,0,121.203986,24.952786,20
觀音,桃園市,42,,良好,0.6,0.15,43.7,45.6,35,11,4.2,5.1,0.8,3.3,52,"2024-01-08 21:00",,0.1,12.8,33,1,121.08283092,25.03556747,19
大園,桃園市,37,,良好,1.8,0.22,42.7,36.1,21,8,6.5,7.5,0.9,4.1,23,"2024-01-08 21:00",,0.2,11.3,29,2,121.20251473,25.06100357,18
桃園,桃園市,59,二氧化氮,普通,2.1,0.63,3.8,22.8,30,18,42.9,46.6,3.7,0.2,224,"2024-01-08 21:00",,0.5,15.2,29,1,121.30500531,24.9947107,17
中壢,桃園市,60,細懸浮微粒,普通,2.5,0.84,12.8,15.2,33,23,33.1,54.5,21.3,0.2,283,"2024-01-08 20:00",,0.9,19.1,37,2,121.221667,24.953278,68
龍潭,桃園市,56,細懸浮微粒,普通,1.7,0.53,14.3,28.8,48,25,37.5,39.9,2.4,1.6,321,"2024-01-08 20:00",,0.4,17.6,37,1,121.21645772,24.86400048,21
平鎮,桃園市,54,細懸浮微粒,普通,1.2,0.41,23,31.8,27,18,22.5,24.7,2.1,0.6,286,"2024-01-08 20:00",,0.4,16.6,30,0,121.203986,24.952786,20
觀音,桃園市,45,,良好,0.7,0.15,44.7,45.8,29,12,4.9,6,1,5.2,26,"2024-01-08 20:00",,0.2,13.8,34,1,121.08283092,25.03556747,19
大園,桃園市,41,,良好,2.1,0.26,37.6,36.0,24,7,11.8,12.9,1,3.4,18,"2024-01-08 20:00",,0.2,12.7,32,2,121.20251473,25.06100357,18
桃園,桃園市,57,二氧化氮,普通,1.9,0.76,5.2,27.6,31,16,39.9,41.8,1.8,0.2,243,"2024-01-08 20:00",,0.5,14.6,28,1,121.30500531,24.9947107,17
中壢,桃園市,60,二氧化氮,普通,2.8,1.27,5.3,16.3,42,22,43,80.3,37.2,0.2,42,"2024-01-08 19:00",,0.9,18,37,2,121.221667,24.953278,68
龍潭,桃園市,60,二氧化氮,普通,1.3,0.61,11.8,31.2,39,21,43.5,48.3,4.8,0.8,42,"2024-01-08 19:00",,0.3,15.6,34,0,121.21645772,24.86400048,21
平鎮,桃園市,54,二氧化氮,普通,1.1,0.63,13.6,34.1,45,25,35.4,39.3,3.9,0.5,300,"2024-01-08 19:00",,0.4,15.6,31,0,121.203986,24.952786,20
觀音,桃園市,47,,良好,0.9,0.18,45.9,45.5,25,10,5.1,6.3,1.1,4.2,43,"2024-01-08 19:00",,0.2,14.4,36,1,121.08283092,25.03556747,19
大園,桃園市,45,,良好,2.2,0.27,34.7,36.5,19,9,15.7,17.3,1.5,2.2,6,"2024-01-08 19:00",,0.2,14,33,2,121.20251473,25.06100357,18
桃園,桃園市,47,,良好,0.8,0.66,17.7,31.5,24,12,28.3,29.9,1.6,0.2,180,"2024-01-08 19:00",,0.4,14.1,28,1,121.30500531,24.9947107,17
中壢,桃園市,58,二氧化氮,普通,2.8,1.37,7.6,18.0,39,18,41.5,73.9,32.3,0.2,326,"2024-01-08 18:00",,0.9,17.1,36,2,121.221667,24.953278,68
龍潭,桃園市,56,二氧化氮,普通,1.5,0.54,18.1,34.3,40,15,38.3,42,3.7,1.3,107,"2024-01-08 18:00",,0.3,14,32,0,121.21645772,24.86400048,21
平鎮,桃園市,50,,良好,1.2,0.62,20.4,37.4,29,14,30.5,34.2,3.7,0.6,52,"2024-01-08 18:00",,0.4,13.9,28,0,121.203986,24.952786,20
觀音,桃園市,51,細懸浮微粒,普通,1,0.23,40.3,44.7,30,16,10.4,11.6,1.2,2.9,30,"2024-01-08 18:00",,0.2,15.6,38,1,121.08283092,25.03556747,19
大園,桃園市,48,,良好,2.2,0.32,29.5,37.0,40,16,20.7,22.7,2,2.3,14,"2024-01-08 18:00",,0.2,14.7,35,2,121.20251473,25.06100357,18
桃園,桃園市,47,,良好,1.2,0.7,20.8,33.9,29,20,26.4,29.2,2.8,0.6,42,"2024-01-08 18:00",,0.4,14.5,29,1,121.30500531,24.9947107,17
中壢,桃園市,55,二氧化氮,普通,2.6,0.78,13.6,19.3,39,20,37,57.4,20.4,0.2,268,"2024-01-08 17:00",,0.8,16.9,34,2,121.221667,24.953278,68
龍潭,桃園市,48,,良好,1.2,0.41,26.9,36.4,39,18,29.6,33,3.3,2.1,60,"2024-01-08 17:00",,0.3,13.7,30,0,121.21645772,24.86400048,21
平鎮,桃園市,44,,良好,1.1,0.51,28.6,39.7,27,18,23.6,27.6,4,1.5,82,"2024-01-08 17:00",,0.3,13.5,27,0,121.203986,24.952786,20
觀音,桃園市,52,細懸浮微粒,普通,0.8,0.21,46.8,44.5,40,17,6.9,7.9,1,2.6,48,"2024-01-08 17:00",,0.2,16,41,1,121.08283092,25.03556747,19
大園,桃園市,46,,良好,2.2,0.31,31.8,37.8,40,17,21.2,23.9,2.7,3.1,17,"2024-01-08 17:00",,0.2,14.3,34,2,121.20251473,25.06100357,18
桃園,桃園市,43,,良好,0.9,0.49,27.7,35.9,27,15,20.3,22.8,2.5,1.5,47,"2024-01-08 17:00",,0.3,13.1,29,1,121.30500531,24.9947107,17
中壢,桃園市,55,二氧化氮,普通,3,0.96,15.7,19.6,37,17,36.5,62.7,26.2,0.2,9,"2024-01-08 16:00",,0.9,15.3,32,2,121.221667,24.953278,68
龍潭,桃園市,43,,良好,1.1,0.34,35.9,37.2,32,13,20.7,24,3.3,2.3,65,"2024-01-08 16:00",,0.3,13.1,27,0,121.21645772,24.86400048,21
平鎮,桃園市,41,,良好,1.2,0.4,37.9,40.8,31,12,16.8,20.3,3.5,1.8,65,"2024-01-08 16:00",,0.3,12.6,27,0,121.203986,24.952786,20
觀音,桃園市,52,細懸浮微粒,普通,1.1,0.21,46,43.5,42,15,7.3,8.5,1.1,4.3,45,"2024-01-08 16:00",,0.2,16,40,1,121.08283092,25.03556747,19
大園,桃園市,44,,良好,2.5,0.3,35.4,38.3,31,15,18.8,21.8,3,2,113,"2024-01-08 16:00",,0.2,13.4,32,2,121.20251473,25.06100357,18
桃園,桃園市,39,,良好,0.9,0.4,32.7,37.0,32,15,,,,2,58,"2024-01-08 16:00",,0.3,12.1,29,1,121.30500531,24.9947107,17
中壢,桃園市,50,,良好,2.5,0.67,23.8,20.3,36,18,30.5,47.1,16.5,0.4,359,"2024-01-08 15:00",,0.9,14.7,32,2,121.221667,24.953278,68
龍潭,桃園市,43,,良好,1.2,0.32,40.4,37.2,32,12,17.8,21.3,3.4,2.8,69,"2024-01-08 15:00",,0.3,13.1,26,0,121.21645772,24.86400048,21
平鎮,桃園市,41,,良好,1.2,0.37,42.4,40.6,30,16,13.5,16.8,3.3,2.1,75,"2024-01-08 15:00",,0.3,12.7,25,0,121.203986,24.952786,20
觀音,桃園市,48,,良好,1.5,0.19,48.1,42.8,42,17,6.6,7.9,1.3,3.4,37,"2024-01-08 15:00",,0.2,14.8,38,1,121.08283092,25.03556747,19
大園,桃園市,43,,良好,2.9,0.31,36.5,38.8,32,14,18.8,22.8,3.9,2.9,100,"2024-01-08 15:00",,0.2,13.3,34,2,121.20251473,25.06100357,18
桃園,桃園市,36,,良好,,0.34,34.4,37.8,27,,,,,2.1,70,"2024-01-08 15:00",,0.3,11.1,29,1,121.30500531,24.9947107,17
中壢,桃園市,52,二氧化氮,普通,2.5,0.81,20.4,20.7,29,16,33.2,56,22.7,0.5,322,"2024-01-08 14:00",,0.8,14.6,32,2,121.221667,24.953278,68
龍潭,桃園市,42,,良好,1.1,0.29,43.4,37.0,24,15,15.6,18.7,3.1,2.8,55,"2024-01-08 14:00",,0.3,12.9,25,1,121.21645772,24.86400048,21
平鎮,桃園市,39,,良好,1,0.33,44.6,40.7,27,11,11.7,14.6,2.9,2.8,64,"2024-01-08 14:00",,0.3,11.9,25,0,121.203986,24.952786,20
觀音,桃園市,56,細懸浮微粒,普通,1.7,0.2,48.9,42.1,47,19,8.3,10.2,1.9,5,51,"2024-01-08 14:00",,0.2,17.4,37,1,121.08283092,25.03556747,19
大園,桃園市,44,,良好,2.4,0.29,40.7,39.4,31,12,15.7,19.4,3.7,2.2,82,"2024-01-08 14:00",,0.2,13.5,34,2,121.20251473,25.06100357,18
桃園,桃園市,36,,良好,0.9,0.35,40,38.9,,14,,,,2.7,60,"2024-01-08 14:00",,0.3,11.2,30,1,121.30500531,24.9947107,17
中壢,桃園市,51,二氧化氮,普通,2.5,0.92,22.4,23.1,25,10,31.2,55.3,24.1,0.2,272,"2024-01-08 13:00",,0.8,14.8,34,2,121.221667,24.953278,68
龍潭,桃園市,41,,良好,1.1,0.3,39.3,37.0,21,14,16,19.5,3.5,1.9,72,"2024-01-08 13:00",,0.3,12.6,26,1,121.21645772,24.86400048,21
平鎮,桃園市,39,,良好,0.9,0.34,43.9,41.0,22,12,10.8,14,3.1,2.4,85,"2024-01-08 13:00",,0.3,11.9,25,0,121.203986,24.952786,20
觀音,桃園市,52,細懸浮微粒,普通,1.3,0.23,45.5,41.4,35,35,9.5,12.1,2.6,4.7,47,"2024-01-08 13:00",,0.2,16.1,36,1,121.08283092,25.03556747,19
大園,桃園市,44,,良好,2.2,0.29,42.2,40.0,30,12,14.1,17.8,3.6,2.8,84,"2024-01-08 13:00",,0.2,13.7,36,2,121.20251473,25.06100357,18
桃園,桃園市,36,,良好,0.9,0.36,42.5,39.8,30,10,12.9,16.5,3.5,3.3,57,"2024-01-08 13:00",,0.3,10.9,30,1,121.30500531,24.9947107,17
中壢,桃園市,51,細懸浮微粒,普通,2.5,0.94,21.5,26.3,40,14,28.7,53.7,25,0.4,275,"2024-01-08 12:00",,0.7,15.5,36,2,121.221667,24.953278,68
龍潭,桃園市,41,,良好,1,0.32,33.9,37.8,32,,14.6,18.9,4.3,2.4,70,"2024-01-08 12:00",,0.2,12.5,28,1,121.21645772,24.86400048,21
平鎮,桃園市,41,,良好,1,0.32,41.6,41.6,22,12,12.1,15.8,3.6,2.7,89,"2024-01-08 12:00",,0.3,12.5,26,0,121.203986,24.952786,20
觀音,桃園市,43,,良好,1.2,0.23,42.2,41.3,33,8,11.6,14.5,2.9,3.1,59,"2024-01-08 12:00",,0.2,13.2,37,1,121.08283092,25.03556747,19
大園,桃園市,46,,良好,2.2,0.27,41.3,40.8,42,14,13.2,16.6,3.3,4.6,104,"2024-01-08 12:00",,0.2,14.1,37,2,121.20251473,25.06100357,18
桃園,桃園市,37,,良好,0.9,0.39,36.5,40.6,33,10,,,,2.5,68,"2024-01-08 12:00",,0.3,10.9,29,1,121.30500531,24.9947107,17
中壢,桃園市,51,細懸浮微粒,普通,2.5,0.87,19.1,29.6,38,19,31.6,58.1,26.4,0.5,282,"2024-01-08 11:00",,0.6,15.7,35,2,121.221667,24.953278,68
龍潭,桃園市,41,,良好,1.1,0.3,36.3,39.4,,11,17.6,21.6,3.9,3.1,57,"2024-01-08 11:00",,0.2,12.6,27,1,121.21645772,24.86400048,21
平鎮,桃園市,41,,良好,1,0.36,39.6,42.7,30,10,13.5,17.2,3.6,3.6,84,"2024-01-08 11:00",,0.3,12.7,28,0,121.203986,24.952786,20
觀音,桃園市,48,,良好,1.6,0.23,40.1,41.9,37,12,13.7,17,3.3,5,68,"2024-01-08 11:00",,0.2,14.8,38,1,121.08283092,25.03556747,19
大園,桃園市,46,,良好,1.9,0.27,39,41.7,34,15,15.5,19.5,4,5.2,89,"2024-01-08 11:00",,0.2,14.2,36,2,121.20251473,25.06100357,18
桃園,桃園市,39,,良好,0.9,0.36,36.7,42.2,31,12,,,,2.8,62,"2024-01-08 11:00",,0.3,10.7,28,1,121.30500531,24.9947107,17
中壢,桃園市,51,二氧化氮,普通,2.1,0.89,17.9,33.1,40,18,31.2,58.2,26.9,0.8,273,"2024-01-08 10:00",,0.5,14.8,32,2,121.221667,24.953278,68
龍潭,桃園市,41,,良好,0.8,0.34,34.9,40.8,32,14,18.5,22.1,3.6,3,66,"2024-01-08 10:00",,0.2,12.5,27,1,121.21645772,24.86400048,21
平鎮,桃園市,42,,良好,0.9,0.38,39.1,43.9,29,10,13.3,16.5,3.1,3.1,85,"2024-01-08 10:00",,0.2,13,27,0,121.203986,24.952786,20
觀音,桃園市,51,細懸浮微粒,普通,1.9,0.25,38.1,42.7,42,10,15.3,18.1,2.8,5.3,63,"2024-01-08 10:00",,0.2,15.6,38,1,121.08283092,25.03556747,19
大園,桃園市,45,,良好,2.2,0.29,35.7,43.0,44,13,19.9,24.4,4.5,4.5,69,"2024-01-08 10:00",,0.2,13.9,36,2,121.20251473,25.06100357,18
桃園,桃園市,40,,良好,1.3,0.38,36.7,43.8,31,13,15,18.1,3.1,3.4,65,"2024-01-08 10:00",,0.2,10.3,29,1,121.30500531,24.9947107,17
中壢,桃園市,52,二氧化氮,普通,2.1,1.17,16.2,36.6,39,15,33.8,65.8,31.9,1.2,287,"2024-01-08 09:00",,0.4,14.7,32,2,121.221667,24.953278,68
龍潭,桃園市,39,,良好,0.9,0.36,33.9,42.5,29,14,18.7,21.5,2.8,2.1,70,"2024-01-08 09:00",,0.2,12,25,1,121.21645772,24.86400048,21
平鎮,桃園市,44,,良好,0.8,0.42,37.5,45.1,28,16,15,18.1,3.1,4.5,90,"2024-01-08 09:00",,0.2,13.7,26,0,121.203986,24.952786,20
觀音,桃園市,54,細懸浮微粒,普通,2.5,0.25,39.4,43.4,44,18,13.5,15.4,1.9,5.2,57,"2024-01-08 09:00",,0.2,16.8,37,1,121.08283092,25.03556747,19
大園,桃園市,48,,良好,2.6,0.3,35.4,44.5,40,14,20,23.1,3.1,4.2,66,"2024-01-08 09:00",,0.2,14.7,34,2,121.20251473,25.06100357,18
桃園,桃園市,42,,良好,1.3,0.44,36.3,45.2,30,11,15.4,17.7,2.3,2.8,68,"2024-01-08 09:00",,0.2,10.1,28,1,121.30500531,24.9947107,17
中壢,桃園市,50,,良好,2.3,0.93,20.9,40.1,36,15,30.1,55.1,24.9,0.8,340,"2024-01-08 08:00",,0.3,14.3,30,2,121.221667,24.953278,68
龍潭,桃園市,41,,良好,0.8,0.33,35.3,44.4,28,14,16.5,18.4,1.9,3,67,"2024-01-08 08:00",,0.2,12.2,25,1,121.21645772,24.86400048,21
平鎮,桃園市,44,,良好,0.7,0.46,36.4,46.4,31,13,14.8,17.7,2.8,3,71,"2024-01-08 08:00",,0.2,13.5,26,0,121.203986,24.952786,20
觀音,桃園市,54,細懸浮微粒,普通,2.4,0.25,40.2,44.0,40,17,12,13.4,1.3,5.9,70,"2024-01-08 08:00",,0.2,16.7,35,1,121.08283092,25.03556747,19
大園,桃園市,46,,良好,2.8,0.27,39.3,45.3,40,14,16.6,18.5,1.8,3.8,66,"2024-01-08 08:00",,0.2,14.3,32,2,121.20251473,25.06100357,18
桃園,桃園市,43,,良好,1.1,0.42,39.3,46.4,26,8,11.7,13.3,1.6,3.6,72,"2024-01-08 08:00",,0.2,10.3,28,1,121.30500531,24.9947107,17
中壢,桃園市,46,,良好,2.3,0.49,27.4,43.0,21,13,22.7,37,14.2,0.8,306,"2024-01-08 07:00",,0.3,14.1,29,2,121.221667,24.953278,68
龍潭,桃園市,43,,良好,1,0.25,39.2,46.2,23,9,11.8,13,1.1,2.6,58,"2024-01-08 07:00",,0.2,12.2,25,1,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,0.5,0.27,43.1,47.7,25,11,7.6,8.9,1.3,3.3,66,"2024-01-08 07:00",,0.2,14,26,0,121.203986,24.952786,20
觀音,桃園市,53,細懸浮微粒,普通,2,0.18,42.7,44.3,35,16,10.1,11.1,1,5.2,63,"2024-01-08 07:00",,0.2,16.5,34,1,121.08283092,25.03556747,19
